"Number","Title","Wordcount","last_edit"
"01","Introduction",6676,2017-05-30 21:55:22
"02","Implementing reproducible research",1705,2017-05-30 22:01:02
"03","Collecting data for R",25,2017-05-30 21:39:24
"04","Getting data into R",3657,2017-05-30 21:17:37
"05","Cleaning and tidying data with R",186,2017-02-25 22:20:49
"06","Analysing artefact data with R",82,2016-10-17 13:13:09
"07","Analysing Excavation and stratigraphic data with R",20,2016-10-17 11:56:46
"08","Analysing spatial data and making maps with R",59,2017-03-13 22:36:36
"01","Introduction",6676,2017-05-31 04:55:22
"02","Implementing reproducible research",1705,2017-05-31 05:01:02
"03","Collecting data for R",25,2017-05-31 04:39:24
"04","Getting data into R",3657,2017-05-31 04:17:37
"05","Cleaning and tidying data with R",186,2017-02-26 06:20:49
"06","Analysing artefact data with R",82,2016-10-17 20:13:09
"07","Analysing Excavation and stratigraphic data with R",20,2016-10-17 18:56:46
"08","Analysing spatial data and making maps with R",59,2017-03-14 05:36:36
"01","Introduction",6676,2017-05-31 04:55:22
"02","Implementing reproducible research",1705,2017-05-31 05:01:02
"03","Collecting data for R",25,2017-05-31 04:39:24
"04","Getting data into R",3657,2017-05-31 04:17:37
"05","Cleaning and tidying data with R",186,2017-02-26 06:20:49
"06","Analysing artefact data with R",82,2016-10-17 20:13:09
"07","Analysing Excavation and stratigraphic data with R",20,2016-10-17 18:56:46
"08","Analysing spatial data and making maps with R",59,2017-03-14 05:36:36
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",2747,2017-05-31 09:36:52
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",2747,2017-05-31 09:36:52
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",2747,2017-05-31 09:36:52
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",2747,2017-05-31 09:36:52
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3174,2017-06-01 06:33:55
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3347,2017-06-01 06:57:58
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3416,2017-06-01 07:11:51
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3416,2017-06-01 07:21:25
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3418,2017-06-01 07:35:15
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3441,2017-06-01 07:48:17
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",3441,2017-06-01 07:49:33
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4505,2017-06-04 01:25:21
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4582,2017-06-04 01:56:39
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4601,2017-06-04 02:03:35
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4755,2017-06-04 02:14:25
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4751,2017-06-04 02:15:31
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4751,2017-06-04 02:16:57
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
"05","Cleaning and tidying data with R",188,2017-05-31 09:39:40
"06","Analysing artefact data with R",86,2017-05-31 09:40:15
"07","Analysing Excavation and stratigraphic data with R",23,2017-05-31 09:40:39
"08","Analysing spatial data and making maps with R",57,2017-05-31 09:41:22
"01","Introduction",6997,2017-05-31 08:23:18
"02","Implementing reproducible research",4920,2017-06-04 02:39:08
"03","Collecting data for R",27,2017-05-31 09:38:23
"04","Getting data into R",3659,2017-05-31 09:39:04
